Date:	2026-04-23
Time:	13:14:01.859
Radar No.:	2130000108
Interface:	Ethernet
Start-Frequency [MHz]:	24008
Stop-Frequency [MHz]:	24242
Ramp Time [ms]:	50
Attenuation [dB]:	0.0
Bin Size [mm]:	320.604
Number of Samples:	17
Bin Size [Hz]:	10
Zero Pad Factor:	2
Normalization:	0
Active Channels:	I1, Q1, I2, Q2
Magnitude Unit:	[dBm], Phase/Obj. Angle Unit:	[degrees]
=======================================================
<Mag. I1>	<Mag. Q1>	<Mag. I2>	<Mag. Q2>	

-33.843	-29.608	-28.313	-33.621	
-30.343	-25.508	-26.097	-31.28	
-29.972	-24.712	-25.954	-30.825	
-36.143	-29.892	-30.911	-35.499	
-50.957	-42.007	-39.526	-42.162	
-40.611	-35.486	-41.162	-36.359	
-28.723	-28.523	-28.491	-28.918	
-23.804	-23.807	-23.332	-23.813	
-21.913	-21.899	-21.786	-21.99	
-20.162	-20.347	-21.329	-21.977	
-15.842	-15.79	-18.181	-18.768	
-11.947	-11.913	-14.126	-14.431	
-10.664	-10.78	-12.31	-12.651	
-12.507	-12.645	-13.371	-13.774	
-18.023	-17.906	-17.636	-17.994	
-28.137	-27.383	-25.82	-26.004	
-38.627	-38.173	-39.639	-40.017	
